"teryt";"rok";"l_mieszk"
160709;2010;6463
160801;2010;10130
160802;2010;7408
160803;2010;18176
160804;2010;13968
160805;2010;4495
160806;2010;8343
160807;2010;3841
160901;2010;6678
160902;2010;9458
160903;2010;14358
160904;2010;10920
160905;2010;9504
160906;2010;5649
160907;2010;13632
160908;2010;20200
160909;2010;8276
160910;2010;9815
160911;2010;9727
160912;2010;5261
160913;2010;9632
161001;2010;11096
161002;2010;13871
161003;2010;4431
161004;2010;28521
161101;2010;5360
161102;2010;7175
161103;2010;6079
161104;2010;8183
161105;2010;31827
161106;2010;6278
161107;2010;12142
166101;2010;122656
180103;2010;2421
180105;2010;2164
180108;2010;17909
180201;2010;26663
180202;2010;6177
180203;2010;8241
180204;2010;9346
180205;2010;7608
180206;2010;8537
180301;2010;47243
180302;2010;13180
180303;2010;12744
180304;2010;24897
180305;2010;5467
180306;2010;17696
180307;2010;13628
180401;2010;39947
180402;2010;5515
180403;2010;5627
180404;2010;12931
180405;2010;7048
180406;2010;8331
180407;2010;9840
180408;2010;11535
180409;2010;4383
180410;2010;6298
180411;2010;11439
180501;2010;37148
180502;2010;6392
180503;2010;8570
180504;2010;16212
180505;2010;9087
180506;2010;2010
180507;2010;9374
180508;2010;5397
180509;2010;12457
180511;2010;9174
180601;2010;8061
180602;2010;25129
180603;2010;9936
180604;2010;6003
180605;2010;7217
180606;2010;6535
180701;2010;13478
180702;2010;14858
180703;2010;10925
180704;2010;15489
180705;2010;10988
180706;2010;5428
180707;2010;13569
180708;2010;15682
180709;2010;9194
180710;2010;2109
180801;2010;14538
180802;2010;8127
180803;2010;5723
180804;2010;19975
180805;2010;21836
180901;2010;12586
180902;2010;7608
180903;2010;5006
180904;2010;9218
180905;2010;8456
180906;2010;6590
180907;2010;4452
180908;2010;3946
181001;2010;18183
181002;2010;8332
181003;2010;11104
181004;2010;20969
181005;2010;6621
181006;2010;7240
181007;2010;6840
181101;2010;61587
181102;2010;5629
181103;2010;6977
181104;2010;2847
181105;2010;12826
181106;2010;5437
181107;2010;11414
181108;2010;14028
181109;2010;7802
181110;2010;7495
181201;2010;6335
181202;2010;5490
181203;2010;10094
181204;2010;4334
181205;2010;22604
181206;2010;10283
181207;2010;8702
181301;2010;6724
181302;2010;9564
181303;2010;5588
181304;2010;4947
181305;2010;4941
181306;2010;6393
181307;2010;8685
181308;2010;9904
181309;2010;4078
181310;2010;12812
181401;2010;15971
181402;2010;4213
181403;2010;4665
181404;2010;4674
181405;2010;12637
181406;2010;14719
181407;2010;7020
181408;2010;8353
181409;2010;7193
181501;2010;7525
181502;2010;7060
181503;2010;26740
181504;2010;23228
181505;2010;8458
181601;2010;6242
181602;2010;10773
181603;2010;18865
181604;2010;6656
181605;2010;7143
181606;2010;18590
181607;2010;6971
181608;2010;6980
181609;2010;10240
181610;2010;6523
181611;2010;16905
181612;2010;15898
181613;2010;19942
181614;2010;11042
181701;2010;39569
181702;2010;4392
181703;2010;5459
181704;2010;5130
181705;2010;17435
181706;2010;1981
181707;2010;12968
181708;2010;9324
181801;2010;65317
181802;2010;7397
181803;2010;10134
181804;2010;7434
181805;2010;8746
181806;2010;10861
181901;2010;11743
181902;2010;10569
181903;2010;10716
181904;2010;20933
181905;2010;8454
182001;2010;12211
182002;2010;13684
182003;2010;9798
182004;2010;18704
182101;2010;3221
182102;2010;1741
