kod_nts;wojewodztwo;nazwa_powiatu;rok2003;rok2007;rok2011;rok2015
4326361000;32;m. Koszalin;2103,25;2534,90;3181,23;3644,39
4326402000;32;choszczeński;1768,20;2228,60;2987,64;3397,02
4326403000;32;drawski;1802,40;2158,84;2719,38;3068,19
4326410000;32;myśliborski;1796,42;2206,57;2943,01;3382,88
4326412000;32;pyrzycki;1894,85;2112,50;2735,56;3189,06
4326415000;32;szczecinecki;2033,58;2569,09;3105,57;3574,91
4326416000;32;świdwiński;1658,81;2075,56;2772,15;3162,58
4326417000;32;wałecki;1815,76;2383,47;2978,86;3447,21
4326418000;32;łobeski;1733,44;2124,98;2841,15;3419,11
4326562000;32;m. Szczecin;2365,24;2975,73;3761,89;4381,58
4326604000;32;goleniowski;1963,13;2450,32;3151,40;3681,15
4326605000;32;gryficki;1811,15;2203,07;2731,19;3184,98
4326606000;32;gryfiński;2453,05;2928,92;3068,98;3534,88
4326607000;32;kamieński;1914,69;2209,45;2898,73;3201,23
4326611000;32;policki;2568,27;3035,02;3721,07;4309,12
4326614000;32;stargardzki;1933,49;2322,96;3110,83;3523,62
4326663000;32;m. Świnoujście;2241,77;2666,05;3598,11;4344,85
5020101000;02;bolesławiecki;1951,43;2324,46;2936,93;3548,69
5020105000;02;jaworski;1766,69;2193,68;2837,23;3323,37
5020106000;02;jeleniogórski;1754,74;2158,71;2867,09;3413,66
5020107000;02;kamiennogórski;1789,33;2173,04;2864,01;3269,22
5020110000;02;lubański;1736,02;2111,18;2809,95;3313,97
5020112000;02;lwówecki;1814,34;2214,40;2915,48;3323,95
5020125000;02;zgorzelecki;2695,69;3232,80;3264,77;3630,73
5020126000;02;złotoryjski;1893,55;2454,96;3309,08;3826,13
5020161000;02;m. Jelenia Góra;2175,01;2548,93;3192,15;3835,12
5020203000;02;głogowski;1970,64;2452,70;3028,65;3615,99
5020204000;02;górowski;1743,33;2101,60;2755,49;3242,71
5020209000;02;legnicki;1783,42;2181,72;2918,37;3403,32
5020211000;02;lubiński;3611,52;5261,68;6281,17;6955,85
5020216000;02;polkowicki;2116,76;2780,45;3574,09;4430,87
5020262000;02;m. Legnica;1958,43;2282,17;2899,24;3582,11
5020302000;02;dzierżoniowski;1785,00;2246,79;3024,11;3406,18
5020308000;02;kłodzki;1839,79;2308,06;2962,33;3410,23
5020319000;02;świdnicki;1992,17;2507,13;3178,31;3736,97
5020324000;02;ząbkowicki;1904,57;2307,68;2923,66;3388,52
5020413000;02;milicki;1733,47;2190,25;2784,02;3221,15
5020414000;02;oleśnicki;1759,35;2205,88;2856,02;3456,50
5020415000;02;oławski;2049,68;2570,69;3182,71;3738,78
5020417000;02;strzeliński;1993,21;2385,80;3102,58;3595,32
5020418000;02;średzki;2010,33;2452,93;3358,61;3826,72
5020420000;02;trzebnicki;1916,09;2412,72;3117,08;3323,99
5020422000;02;wołowski;1899,98;2410,69;3313,99;4001,80
5020423000;02;wrocławski;2221,17;2697,55;3416,69;3706,59
5020564000;02;m. Wrocław;2367,30;3048,98;3827,68;4569,88
5163101000;16;brzeski;1842,78;2444,73;2962,78;3546,88
5163102000;16;głubczycki;1842,45;2363,83;3031,11;3354,70
5163106000;16;namysłowski;1956,53;2380,02;2974,33;3609,87
5163107000;16;nyski;1783,79;2257,82;2846,85;3337,24
5163110000;16;prudnicki;1744,88;2224,60;2958,74;3329,80
5163203000;16;kędzierzyńsko-kozielski;2197,49;2923,97;3753,82;4444,99
5163204000;16;kluczborski;1860,65;2373,00;2994,99;3529,72
5163205000;16;krapkowicki;2587,59;3186,01;3597,89;4183,01
5163208000;16;oleski;1908,09;2263,00;2868,91;3321,49
5163209000;16;opolski;2079,75;2430,34;2785,98;3376,90
5163211000;16;strzelecki;1943,82;2401,25;3079,75;3575,74
5163261000;16;m. Opole;2326,35;2876,99;3714,16;4225,15
6040603000;04;bydgoski;1784,25;2236,28;2876,85;3548,05
